repeat_number,repeat_measurement_range,measurement_in_repeat,dataset_row,inference_ms,compute_ms,cycle_ms,period_ms,start_jitter_ms,lateness_ms,deadline_miss
3,81–120,27,27,0.34977299992533517,0.9365280000110943,0.9744739999177909,100,0.24827699996876618,0.0,0
3,81–120,28,28,0.4006640000397965,1.2244790000295325,1.2590350000891704,100,0.17863999994460755,0.0,0
3,81–120,29,29,0.3882190000012997,1.1638789999324217,1.1986900000238165,100,0.17883800001072814,0.0,0
3,81–120,30,30,0.3677380000226549,0.991730999999163,1.0319020000224555,100,0.12267800002518925,0.0,0
3,81–120,31,31,0.35472299998673407,0.9408569999322935,0.9778900000583235,100,0.20644699998229044,0.0,0
3,81–120,32,32,0.34570500008612726,1.090968000085013,1.1287529999890467,100,0.22990799993749533,0.0,0
3,81–120,33,33,0.386423999998442,1.0536089999959586,1.0894189999817172,100,0.12638099997275276,0.0,0
3,81–120,34,34,0.4476889999978084,1.2940029999981562,1.3642610000488276,100,2.1651609999935317,0.0,0
3,81–120,35,35,0.35281999998915126,0.9566530000029161,0.9987040000396519,100,0.1836100000218721,0.0,0
3,81–120,36,36,0.42286699999749544,1.0676860000558008,1.0994230000278549,100,0.15726099991297815,0.0,0
3,81–120,37,37,0.33450099999754457,0.8570009999857575,0.8913429999211075,100,0.21770599994397344,0.0,0
3,81–120,38,38,0.3202030000011291,0.8573189999196984,0.8891159999393494,100,0.20505999987108225,0.0,0
3,81–120,39,39,0.34487000004901347,0.869708999971408,0.9038520000785866,100,0.2034010000215858,0.0,0
3,81–120,40,40,0.3192799999851559,0.81579100003637,0.8586889999833147,100,0.2103340000303433,0.0,0
4,121–160,1,1,0.28884599998946214,0.7732510000550974,0.8061360000510831,100,0.11499400000047899,0.0,0
4,121–160,2,2,0.29644500000358676,0.789703999998892,0.8229259999552596,100,0.12335099995652854,0.0,0
4,121–160,3,3,0.2954169999611622,0.8352529999910985,0.870736000024408,100,0.10969799996018992,0.0,0
4,121–160,4,4,0.29739699994024704,0.771570999972937,0.8029360000136876,100,0.291686999958074,0.0,0
4,121–160,5,5,0.34227300000111427,0.8404750000181593,0.8714750000535787,100,0.11701200003244594,0.0,0
4,121–160,6,6,0.3097480000633368,0.8103510000410097,0.8418879999680939,100,0.18961899991154496,0.0,0
4,121–160,7,7,0.31560900004024006,0.8953459999929692,0.9286530000736093,100,0.12227199999870209,0.0,0
4,121–160,8,8,0.286477000031482,0.8388219999915236,0.869631999989906,100,0.15283499988072435,0.0,0
4,121–160,9,9,0.310741000021153,0.844244999939292,0.8750420000751546,100,0.20459699999264558,0.0,0
4,121–160,10,10,0.39101100003335887,0.8751010000196402,0.9051929999941422,100,0.12367700003323989,0.0,0
